カテゴリ,用語,説明
オブジェクト指向,ポリモーフィズム (多態性),同じ名前のメソッドでも、状況に応じた動きをすること。
オブジェクト指向,インターフェース,クラスが実装すべきメソッドの構成を定義したもの。
オブジェクト指向,抽象クラス,共通の機能を定義し、継承されることを前提としたクラス。
開発環境・ツール,IDE,統合開発環境。コード作成、実行、デバッグができるソフト。
開発環境・ツール,テキストエディタ,プログラムを書くための文字編集ソフト（VS Codeなど）。
開発環境・ツール,デバッガ,バグを見つけ出すために動作を追跡するツール。
開発環境・ツール,ブレークポイント,デバッグ時にプログラムを一時停止させる箇所。
開発環境・ツール,コンソール (ターミナル),文字入力でコンピュータに命令を出す画面。
開発環境・ツール,環境変数,OS全体で共有される設定情報（パスの指定など）。
開発環境・ツール,Git,プログラムの変更履歴を記録するバージョン管理システム。
開発環境・ツール,リポジトリ,Gitで管理されたコードや履歴の貯蔵庫。
開発環境・ツール,コミット,変更内容を履歴としてリポジトリに記録すること。
開発環境・ツール,ブランチ,本番の履歴から枝分かれして個別に作業する仕組み。
開発環境・ツール,マージ,枝分かれした変更を一つに統合すること。
開発環境・ツール,プルリクエスト,変更内容を確認してもらうよう他者に依頼すること。
開発環境・ツール,パッケージマネージャー,ライブラリの導入や更新を自動管理するツール。
不具合・テスト,バグ,プログラムに含まれる論理的な間違いや欠陥。
不具合・テスト,デバッグ,バグの原因を特定して修正する作業。
不具合・テスト,例外 (エクセプション),実行中に発生する予期せぬエラー。
不具合・テスト,例外処理 (try-catch),エラーが起きても停止させずに対処する仕組み。
不具合・テスト,ユニットテスト,関数の最小単位が正しく動くか確認するテスト。
不具合・テスト,テストコード,テスト自体を自動で行うためのプログラム。
不具合・テスト,アサーション,プログラムが想定通りか確認するための判定式。
不具合・テスト,ドライバ,テスト対象を動かすための呼び出し用プログラム。
不具合・テスト,スタブ,テスト対象から呼び出される代わりの偽プログラム。
言語・パラダイム,静的型付け,実行前にデータの型を厳密に決める方式（Javaなど）。
言語・パラダイム,動的型付け,実行時にデータの型を柔軟に決める方式（Pythonなど）。
言語・パラダイム,強型付け,型変換を厳格に行い、曖昧な動作を許さない性質。
言語・パラダイム,コンパイル言語,実行前に翻訳が必要な言語（C++, Goなど）。
言語・パラダイム,スクリプト言語,書いたコードをすぐに実行できる言語（Ruby, PHPなど）。
言語・パラダイム,マークアップ言語,文書の構造を指定する言語（HTML, XMLなど）。
言語・パラダイム,スタイルシート言語,見た目を整えるための言語（CSS）。
言語・パラダイム,関数型プログラミング,状態変化を避け、関数の組み合わせで構築する手法。
言語・パラダイム,宣言的プログラミング,「どうやるか」ではなく「何であるか」を記述する手法。
コーディング手法,リファクタリング,動作を変えずにコードを読みやすく整理すること。
コーディング手法,インデント,コードの階層を分かりやすくするための字下げ（空白）。
コーディング手法,コメントアウト,プログラムとして実行されないメモ書き。
コーディング手法,命名規則,変数や関数の名前の付け方のルール。
コーディング手法,キャメルケース,単語の区切りを大文字にする命名法（userName）。
コーディング手法,スネークケース,単語をアンダーバーで繋ぐ命名法（user_name）。
コーディング手法,DRY原則,「同じことを繰り返さない」というプログラミングの鉄則。
コーディング手法,ハードコーディング,設定値などをコード内に直接書き込んでしまうこと。
コーディング手法,ボイラープレート,何度も書く必要があるお決まりの定型文。
コーディング手法,マジックナンバー,意味が不明なまま直接書かれた数値。
非同期・並列処理,スレッド,プログラムを実行する最小の処理単位。
非同期・並列処理,マルチスレッド,複数の処理を同時に並行して行うこと。
非同期・並列処理,非同期処理,ある処理の完了を待たずに次の処理を進めること。
非同期・並列処理,コールバック,処理が終わった後に実行されるよう指定された関数。
非同期・並列処理,Promise/async-await,非同期処理を読みやすく書くための仕組み。
非同期・並列処理,デッドロック,複数の処理がお互いのロック解除を待ち合って停止する状態。
データベース,DBMS,データベースを管理・運用するための専用ソフトウェア。
データベース,RDB,データを表形式（テーブル）で管理するリレーショナルデータベース。
データベース,SQL,RDBの操作（抽出、挿入、更新、削除）を行うための言語。
データベース,テーブル,行と列で構成される、データを格納する表。
データベース,レコード (行),テーブル内の一件分のデータ。
データベース,カラム (列),データ項目（名前、年齢など）の単位。
データベース,主キー (プライマリキー),レコードを一意に識別するための重複しない項目。
データベース,外部キー,別のテーブルとデータを関連付けるための項目。
データベース,インデックス,データの検索速度を高速化するための索引。
データベース,クエリ,データベースに対して情報の操作を依頼する命令。
データベース,正規化,データの重複をなくし、矛盾が起きないように整理する作業。
データベース,トランザクション,複数の処理を「すべて成功」か「すべて失敗」のひとまとめにする単位。
データベース,コミット,トランザクションの結果を確定させ、保存すること。
データベース,ロールバック,エラー時にトランザクション前の状態に引き戻すこと。
データベース,NoSQL,表形式にとらわれない、拡張性の高いデータベースの総称。
データベース,ストアドプロシージャ,よく使う一連の処理をデータベース側に保存しておく仕組み。
データベース,ビュー,複雑なクエリの結果を、仮想的なテーブルとして定義したもの。
データベース,排他制御,複数のユーザーが同時に同じデータを書き換えないように制限する仕組み。
データベース,デッドロック,複数の処理がお互いにロック解除を待ち合って停止する状態。
データベース,マイグレーション,データベースの構造（スキーマ）を変更・移行すること。
その他,エスケープ処理,特別な意味を持つ記号を、ただの文字として扱う処理。
その他,正規表現,文字列のパターンを記号で表現する特殊な記述法。
その他,依存関係,あるプログラムが別のライブラリを必要としている状態。
その他,SDK,特定の開発を行うために必要なツールが一式入った開発キット。
その他,ポインタ,メモリ上の住所（アドレス）を直接指し示す変数の型。
その他,ガベージコレクション,使わなくなったメモリを自動で解放する仕組み。
その他,スタックオーバーフロー,メモリの限界を超えてプログラムが異常終了すること。
