カテゴリ,用語,説明
運用・保守,ログ,システムの動作記録やユーザーの操作履歴。
運用・保守,監視,サーバーやネットワークが正常に動いているかチェックし続けること。
運用・保守,バックアップ,故障やミスに備えて、データの複製を保存しておくこと。
運用・保守,デプロイ,開発したプログラムをサーバーに配置し、動く状態にすること。
運用・保守,ロールバック,不具合時にシステムを直前の正常な状態に戻すこと。
運用・保守,パッチ,ソフトの不具合や脆弱性を修正するための小さなプログラム。
運用・保守,ダウンタイム,システムが停止して利用できなくなっている時間。
運用・保守,稼働率,一定期間のうち、システムが正常に動いていた時間の割合。
運用・保守,保守,システムを正常な状態に維持し、必要に応じて修正すること。
運用・保守,運用,日々のシステム稼働を管理・実行すること。
運用・保守,インシデント,システムが正常に動かなくなる予兆や事故のこと。
データ・解析,データベース (DB),データを整理・蓄積し、再利用しやすくした仕組み。
データ・解析,クエリ,データベースに対して情報の抽出や操作を依頼する命令。
データ・解析,ビッグデータ,一般的手法では処理困難なほど巨大で複雑なデータ群。
データ・解析,データマイニング,大量のデータから有益な法則や知識を探し出すこと。
データ・解析,データウェアハウス (DWH),目的別に整理・統合された分析用のデータ倉庫。
データ・解析,BIツール,蓄積したデータをグラフなどで可視化し、意思決定を助けるツール。
データ・解析,メタデータ,データそのものについての付随情報（作成日、作者など）。
データ・解析,マスターデータ,顧客名や商品名など、業務の基礎となる更新頻度の低いデータ。
ビジネス・開発手法,アジャイル,小さな単位で開発とリリースを繰り返す機敏な手法。
ビジネス・開発手法,ウォーターフォール,工程を一つずつ確実に完了させてから次へ進む手法。
ビジネス・開発手法,スクラム,アジャイル開発でチーム一丸となって進める枠組み。
ビジネス・開発手法,要件定義,システムで実現したい内容や機能を明確にする工程。
ビジネス・開発手法,基本設計,ユーザーから見える画面や大枠の機能を決める工程。
ビジネス・開発手法,詳細設計,プログラムの内部処理など具体的な作りを決める工程。
ビジネス・開発手法,単体テスト,プログラムの最小単位（部品）ごとに正しく動くか試す工程。
ビジネス・開発手法,結合テスト,複数の部品を組み合わせて正しく動くか試す工程。
ビジネス・開発手法,システムテスト,全体が完成した状態で、要件通りに動くか試す工程。
ビジネス・開発手法,受け入れテスト,発注者が最終的に納品物をチェックする工程。
ビジネス・開発手法,MVP,顧客に価値を最小限提供できる機能のみを持った製品。
ビジネス・開発手法,PoC,新しい技術やアイデアが実現可能かを検証する工程。
ビジネス・開発手法,DX,ITを活用してビジネスや社会の仕組みを根本から変革すること。
ビジネス・開発手法,SaaS,ネット経由でソフトウェアの機能を利用するサービス形態。
ビジネス・開発手法,PaaS,アプリを動かすための土台（プラットフォーム）を提供するサービス。
ビジネス・開発手法,IaaS,サーバーやネットワークなどのインフラ資源を提供するサービス。
ビジネス・開発手法,BtoB,企業間で行われる取引やサービス。
ビジネス・開発手法,BtoC,企業が一般消費者に対して行う取引やサービス。
ビジネス・開発手法,サブスクリプション,利用期間に応じて料金を支払う定額制モデル。
ビジネス・開発手法,OSS,ソースコードが公開され、誰でも利用・改良できるソフト。
ビジネス・開発手法,リテラシー,情報を正しく理解し、適切に活用できる能力。
ビジネス・開発手法,デフォルト,特に設定を変更していない、最初の標準状態。
ビジネス・開発手法,レガシーシステム,技術が古くなり、維持や連携が困難になった旧式システム。
ビジネス・開発手法,技術負債,短期的な開発を優先した結果、後で発生する修正コスト。
ビジネス・開発手法,ベンダー,システムや製品を販売・提供する会社。
ビジネス・開発手法,SIer (エスアイアー),システムの構築や運用を請け負う企業。
ビジネス・開発手法,SES,エンジニアの技術力を提供（客先常駐など）するサービス形態。
ハードウェア・周辺,CPU,コンピュータの頭脳にあたる、演算や制御を行うパーツ。
ハードウェア・周辺,メモリ,データを一時的に広げておくための作業机のようなパーツ。
ハードウェア・周辺,HDD/SSD,データを永続的に保存しておくための記憶装置。
ハードウェア・周辺,マザーボード,CPUやメモリなどを取り付ける主要な電子回路基板。
ハードウェア・周辺,周辺機器,マウス、キーボード、モニターなど外部接続する装置。
ハードウェア・周辺,ファームウェア,ハードウェアを直接制御するために組み込まれたソフト。
ハードウェア・周辺,ドライバー,周辺機器をPCで動かすために必要な制御ソフト。
その他,アルゴリズム,問題を解決したり計算したりするための手順や計算方法。
その他,文字化け,文字の符号化形式が合わずに、意味不明な記号が表示される現象。
その他,キャッシュ,一度使ったデータを一時保存し、次回の表示を速める仕組み。
その他,クッキー (Cookie),Webサイトがユーザーのブラウザに保存する識別用データ。
その他,バッチ処理,一定期間のデータをまとめて一括で処理する方式。
その他,リアルタイム処理,発生したデータを即座に処理して結果を返す方式。
その他,マイグレーション,システムやデータを新しい環境へ移行すること。
その他,プロビジョニング,必要に応じてリソース（サーバーや回線）を使える状態にすること。
その他,ディレクトリ,ファイルを整理するための「フォルダ」のシステム上の呼び方。
その他,パス,ファイルやフォルダがどこにあるかを示す経路情報。
その他,拡張子,ファイル名の末尾に付く種類を示す記号（.jpg、.pdfなど）。
その他,リポジトリ,データやプログラムの変更履歴を保存しておく場所。
